Title,URL,Site,Short Intro,Category,Sub-Category,Language,Rating,Duration,is_paid,level
Learn SQL Basics for Data Science Specialization,https://www.coursera.org/specializations/learn-sql-basics-data-science,Coursera,,data science,data analysis,English,4.5,4.0,,
The Materiality of ESG Factors Specialization,https://www.coursera.org/specializations/materiality-esg-factors,Coursera,Learn about ESG Factors When Investing. Analyze the importance of ESG investing. Identify how the ESG approach should be an essential piece of your strategy based on various factors impacting and driving value.,business,finance,English,4.7,4.0,,
AI For Business Specialization,https://www.coursera.org/specializations/ai-for-business-wharton,Coursera,"Learn the Fundamentals of  AI and Machine Learning. Develop a deployment strategy for incorporating AI, ML, and Big Data into your organization that will take advantage of cutting-edge technologies",business,leadership and management,English,4.7,4.0,,
Digital Product Management Specialization,https://www.coursera.org/specializations/uva-darden-digital-product-management,Coursera,Implement a modern approach to product management. Master the fundamentals that create great teams and products,computer science,design and product,English,4.8,5.0,,
Leading the Modern Day Business Specialization,https://www.coursera.org/specializations/leading-modern-day-business,Coursera,,business,leadership and management,English,4.7,4.0,,
Graphic Design Specialization,https://www.coursera.org/specializations/graphic-design,Coursera,Make Compelling Design. Learn and apply the principles of graphic design towards a comprehensive branding project.,arts and humanities,music and art,English,4.7,6.0,,
Security Analyst Fundamentals Specialization,https://www.coursera.org/specializations/security-analyst-fundamentals,Coursera,Launch your career in Cybersecurity.. Acquire the knowledge you need to work as a Cybersecurity Analyst.,information technology,security,English,4.8,4.0,,
Improve Your English Communication Skills Specialization,https://www.coursera.org/specializations/improve-english,Coursera,Improve Your English Communication Skills. Write and speak more professionally in English to increase your business success.,language learning,learning english,English,4.8,5.0,,
Entrepreneurship Specialization,https://www.coursera.org/specializations/wharton-entrepreneurship,Coursera,"Turn Your Idea into a Funded Business. Develop, launch, fund and grow your own business",business,entrepreneurship,English,4.8,6.0,,
Foundations of Positive Psychology  Specialization,https://www.coursera.org/specializations/positivepsychology,Coursera,Positive Psychology:  Well-being for life. Master strategies and tools that enable individuals and organizations to thrive,business,business essentials,English,4.8,5.0,,
Data Science Specialization,https://www.coursera.org/specializations/jhu-data-science,Coursera,"Launch Your Career in Data Science. A ten-course introduction to data science, developed and taught by leading professors.",data science,data analysis,English,4.5,11.0,,
Supply Chain Management Specialization,https://www.coursera.org/specializations/supply-chain-management,Coursera,"Supply Chain Management. Master the Fundamentals: Logistics, Operations, Planning, Sourcing, and Strategy",business,business essentials,English,4.8,6.0,,
Fintech: Foundations & Applications of Financial Technology Specialization,https://www.coursera.org/specializations/wharton-fintech,Coursera,,business,business essentials,English,4.6,4.0,,
Microsoft 365 Fundamentals Specialization,https://www.coursera.org/specializations/microsoft-365-fundamentals,Coursera,Pursue your passion and improve your productivity. Learn how to use the best-in-class suite of apps that help you stay connected and get things done.,business,business essentials,English,4.7,5.0,,
Search Engine Optimization (SEO) Specialization,https://www.coursera.org/specializations/seo,Coursera,Become an SEO Expert. Master search engine optimization tools and strategies,business,marketing,English,4.7,5.0,,
AI Product Management Specialization,https://www.coursera.org/specializations/ai-product-management-duke,Coursera,"Manage the Design & Development of ML Products. Understand how machine learning works and when and how it can be applied to solve problems.  Learn to apply the data science process and best practices to lead machine learning projects,  and how to develop human-centered AI products which ensure privacy and ethical standards.",data science,machine learning,English,4.7,4.0,,
Introduction to Programming with Python and Java Specialization,https://www.coursera.org/specializations/programming-python-java,Coursera,"Boost Your Computer Programming Skills. With minimal previous exposure, learn two popular programming languages at an accelerated pace.",computer science,software development,English,4.4,4.0,,
Construction Management Specialization,https://www.coursera.org/specializations/construction-management,Coursera,Construction Project Management and Planning. Develop and understand the foundations of project planning and scheduling techniques,business,leadership and management,English,4.8,7.0,,
IBM Introduction to Machine Learning Specialization,https://www.coursera.org/specializations/ibm-intro-machine-learning,Coursera,Learn machine learning through real use cases. Build the skills for a career in one of the most relevant fields of modern AI through hands-on projects and curriculum from IBM’s experts.,data science,data analysis,English,4.7,6.0,,
Data Analysis and Presentation Skills: the PwC Approach Specialization,https://www.coursera.org/specializations/pwc-analytics,Coursera,"Make Smarter Business Decisions With Data Analysis. Understand data, apply data analytics tools and create effective business intelligence presentations",business,business essentials,English,4.7,6.0,,
AWS Fundamentals Specialization,https://www.coursera.org/specializations/aws-fundamentals,Coursera,,information technology,cloud computing,English,4.6,5.0,,
Data Science: Foundations using R Specialization,https://www.coursera.org/specializations/data-science-foundations-r,Coursera,,data science,data analysis,English,4.6,5.0,,
Python 3 Programming Specialization,https://www.coursera.org/specializations/python-3-programming,Coursera,Become a Fluent Python Programmer. Learn the fundamentals and become an independent programmer.,computer science,software development,English,4.7,5.0,,
Reinforcement Learning Specialization,https://www.coursera.org/specializations/reinforcement-learning,Coursera,Master the Concepts of Reinforcement Learning. Implement a complete RL solution and understand how to apply AI tools to solve real-world problems.,data science,machine learning,English,4.8,5.0,,
Accelerated Computer Science Fundamentals Specialization,https://www.coursera.org/specializations/cs-fundamentals,Coursera,Data Structures and Algorithms in C++. Learn fundamentals of computer science while implementing efficient data structures in C++.,computer science,algorithms,English,4.7,3.0,,
Digital Marketing Specialization,https://www.coursera.org/specializations/digital-marketing,Coursera,"Drive Customer Behavior Online. A six-course overview of the latest digital marketing skills, taught by industry experts.",business,marketing,English,4.6,8.0,,
DevOps on AWS Specialization,https://www.coursera.org/specializations/aws-devops,Coursera,Launch your career in DevOps. Master DevOps methodologies and AWS services to deliver faster and more reliable updates to your customers,computer science,software development,English,4.7,3.0,,
Generative Adversarial Networks (GANs) Specialization,https://www.coursera.org/specializations/generative-adversarial-networks-gans,Coursera,Break into the GANs space. Master cutting-edge GANs techniques through three hands-on courses!,data science,machine learning,English,4.7,3.0,,
Data Visualization with Tableau Specialization,https://www.coursera.org/specializations/data-visualization,Coursera,Visualize Business Data with Tableau. Create powerful business intelligence reports,data science,data analysis,English,4.5,6.0,,
Certified in Cybersecurity Specialization,https://www.coursera.org/specializations/certified-in-cybersecurity,Coursera,Advance Your IT Career with Cybersecurity Skills. Gain Flexibility with Self-Paced Learning,information technology,security,English,4.6,8.0,,
Business Strategy Specialization,https://www.coursera.org/specializations/business-strategy,Coursera,Steer Your Business to Success. Generate value and demonstrate global impact in four courses.,business,business strategy,English,4.8,6.0,,
Applied Data Science with Python Specialization,https://www.coursera.org/specializations/data-science-python,Coursera,"Gain new insights into your data  . Learn to apply data science methods and techniques, and acquire analysis skills.",data science,data analysis,English,4.5,5.0,,
Human Resource Management: HR for People Managers Specialization,https://www.coursera.org/specializations/human-resource-management,Coursera,"Become a better manager of people. Develop strategies and skills for hiring, managing performance, and rewarding employees.",business,business strategy,English,4.8,6.0,,
Achieving Personal and Professional Success Specialization,https://www.coursera.org/specializations/wharton-success,Coursera,"Learn How to Maximize Your Potential. Define Success, Communicate Effectively, and Use Influence to Accomplish Personal and Career Goals ",personal development,personal development,English,4.7,4.0,,
Regulatory Compliance Specialization,https://www.coursera.org/specializations/regulatory-compliance,Coursera,Learn to create a culture of compliance. Master the strategies for building an effective compliance program to manage risk,business,business essentials,English,4.8,4.0,,
"TESOL Certificate, Part 1: Teach English Now! Specialization",https://www.coursera.org/specializations/tesol,Coursera,"TESOL Certificate, Part 1: Teach English Now!. Learn theory and the practical strategies of English as a Second Language teaching.",language learning,learning english,English,4.9,6.0,,
Financial Engineering and Risk Management Specialization,https://www.coursera.org/specializations/financialengineering,Coursera,Advance Your Knowledge in Financial Engineering . Build the fundamentals and technical skills in financial engineering,business,finance,English,4.5,7.0,,
UI / UX Design Specialization,https://www.coursera.org/specializations/ui-ux-design,Coursera,"Design High-Impact User Experiences. Research, design, and prototype effective, visually-driven websites and apps. ",arts and humanities,music and art,English,4.7,4.0,,
"Product Ideation, Design, and Management Specialization",https://www.coursera.org/specializations/product-ideation-design-and-management,Coursera,"Learn to discover, design, and deliver products that customers love.",business,marketing,English,4.5,5.0,,
Financial Analysis - Skills for Success Specialization,https://www.coursera.org/specializations/financial-analysis-skills-for-success,Coursera,Prepare for a career in financial analysis. Gain a wholistic understanding of organizational finance and apply an analytical mindset toward financial statement analysis and organizational decision-making.,business,finance,English,4.6,3.0,,
